112; 2,33
15376; 2,25
30590; 2,19
45805; 2,21
61019; 2,20
76233; 2,16
91448; 2,13
106661; 2,09
121876; 2,10
137091; 2,11
152304; 2,11
167519; 2,12
182733; 2,13
197948; 2,12
213161; 2,12
228376; 2,12
243591; 2,12
258804; 2,12
274019; 2,12
289233; 2,13
304447; 2,12
319662; 2,13
334876; 2,13
350091; 2,13
365304; 2,13
380519; 2,14
395734; 2,13
410947; 2,13
426162; 2,14
441376; 2,14
456591; 2,14
471804; 2,14
487019; 2,14
502234; 2,13
517447; 2,14
532662; 2,14
547876; 2,14
563091; 2,14
578309; 2,15
593523; 2,14
608738; 2,14
623952; 2,15
639167; 2,15
654382; 2,14
669596; 2,14
684812; 2,14
700026; 2,15
715241; 2,14
730456; 2,15
745670; 2,14
760885; 2,15
776099; 2,14
791314; 2,14
806529; 2,15
821743; 2,15
836958; 2,15
852172; 2,14
867387; 2,15
882601; 2,15
897816; 2,15
913039; 2,15
928253; 2,15
943476; 2,15
958691; 2,15
973905; 2,15
989120; 2,15
1004335; 2,15
1019549; 2,15
1034764; 2,14
1049978; 2,14
1065193; 2,15
1080408; 2,15
1095623; 2,14
1110838; 2,15
1126056; 2,15
1141271; 2,15
1156486; 2,15
1171700; 2,15
1186915; 2,15
1202129; 2,15
1217344; 2,15
1232559; 2,14
1247773; 2,15
1262988; 2,14
1278202; 2,14
1293417; 2,14
1308632; 2,15
1323846; 2,15
1339061; 2,15
1354275; 2,15
1369490; 2,15
1384705; 2,15
1399919; 2,15
1415134; 2,15
1430348; 2,15
1445563; 2,15
1460777; 2,15
1475992; 2,16
1491207; 2,16
1506421; 2,15
1521636; 2,15
1536850; 2,15
1552065; 2,15
1567280; 2,15
1582494; 2,16
1597709; 2,15
1612923; 2,16
1628138; 2,16
1643357; 2,16
1658571; 2,16
1673786; 2,16
1689000; 2,15
1704215; 2,16
1719430; 2,16
1734644; 2,16
1749859; 2,15
1765072; 2,16
1780287; 2,16
1795502; 2,16
1810716; 2,16
1825939; 2,16
1841154; 2,15
1856368; 2,16
1871583; 2,15
1886804; 2,15
1902019; 2,16
1917234; 2,15
1932448; 2,15
1947663; 2,16
1962877; 2,16
1978092; 2,16
1993307; 2,16
2008521; 2,15
2023736; 2,16
2038950; 2,16
2054165; 2,16
2069380; 2,16
2084594; 2,16
2099809; 2,16
2115023; 2,16
2130238; 2,15
2145453; 2,15
2160671; 2,15
2175886; 2,15
2191100; 2,15
2206315; 2,15
2221530; 2,15
